Times Square, New York
The White House, Washington DC
Las Vegas Strip, Las Vegas
French Quarter, New Orleans
Grand Canyon, Arizona
Yosemite National Park, California
Mount Rushmore, South Dakota
Hollywood Walk of Fame, Los Angeles
Lincoln Memorial, Washington DC
Fenway Park, Boston
Bryce Canyon National Park, Utah
Independence Hall, Philadelphia
Gateway Arch, St. Louis
Great Smoky Mountains National Park, Tennessee
Pike Place Market, Seattle
Willis Tower, Chicago
Freedom Trail, Boston
Faneuil Hall, Boston
Union Station, Denver
Antelope Canyon, Arizona
Mall of America, Minnesota
Rock City, Chattanooga
Biltmore Estate, Asheville
Pikes Peak, Colorado Springs
Johnson Space Center, Houston
