Gettysburg National Military Park, Pennsylvania
Asheville, North Carolina
Petrified Forest National Park, Arizona
Death Valley National Park, California
Sandia Peak Tramway, New Mexico
Cliff Palace, Mesa Verde National Park
The Breakers, Newport, Rhode Island
Thomas Jefferson's Monticello, Virginia
Little Bighorn Battlefield, Montana
Cuyahoga Valley National Park, Ohio
Mount Washington, New Hampshire
Devils Backbone, Texas
Cannon Beach, Oregon
Brandywine Valley, Pennsylvania
Theodore Roosevelt National Park, North Dakota
Natchez Trace Parkway, Mississippi
Providence Canyon, Georgia
Congaree National Park, South Carolina
Capitol Reef National Park, Utah
